date,region,total,2024,2529,3034,3539
2016,gangwon,169556.5,45031.5,34921,40781,48823
2016,chungcheongbukdo,190997.5,48411.5,40743,48427,53416
2016,chungcheongnamdo,249453.5,59652.5,53025.5,64887,71888.5
2016,jeonnabukdo,211192,57649.5,43828.5,50642.5,59071.5
2016,jeonnanamdo,198418,53882,40428,48605,55503
2016,gyeoungsangbukdo,298866.5,74801,62287,76439,85339.5
2016,gyeoungsangnamdo,402222.5,96895,80428.5,103609.5,121289.5
2016,jeju,77577,19984,15451.5,19358,22783.5
2017,seoul,1509035,338185.5,381222.5,386962,402665
2017,busan,443933.5,110101,103446.5,104356.5,126029.5
2017,daegu,310699.5,81517.5,68338,70665,90179
2017,incheon,408534.5,98721.5,95461,97690.5,116661.5
2017,gwangju,199726.5,53207,43002.5,45935,57582
2017,daejeon,206987,53055,46910,48759.5,58262.5
2017,ulsan,151439,36587.5,32519.5,36816.5,45515.5
2017,gyeonggi,1757272.5,415900.5,392776.5,423265,525330.5
2017,gangwon,167806.5,44892.5,35794,38160.5,48959.5
2017,chungcheongbukdo,189198.5,48520,41135,45538.5,54005
2017,chungcheongnamdo,248650,59478,53560.5,61712.5,73899
2017,jeonnabukdo,207604,57376.5,44290.5,47251,58686
2017,jeonnanamdo,195881.5,53545,40909.5,45644.5,55782.5
2017,gyeoungsangbukdo,292419.5,73443,61876.5,70759.5,86340.5
2017,gyeoungsangnamdo,397194.5,96421,81540.5,95886,123347
2017,jeju,79363.5,20346.5,16499,18571.5,23946.5
2018,seoul,1497466,334248,390530,369573.5,403114.5
2018,busan,435115.5,106798.5,104701,97558,126058
2018,daegu,307123.5,80336,70748.5,65867.5,90171.5
2018,incheon,404823.5,96209,98539.5,92669,117406
2018,gwangju,197335.5,52919.5,44272.5,42757.5,57386
2018,daejeon,203529,52619.5,47881.5,45553,57475
2018,ulsan,147947,35602.5,32634.5,33894.5,45815.5
2018,gyeonggi,1765728.5,412846.5,408493,409250,535139
2018,gangwon,165132,44326,36178.5,35995.5,48632
2018,chungcheongbukdo,187409,48164,41644,43008.5,54592.5
2018,chungcheongnamdo,247223.5,58708.5,54045.5,58890.5,75579
2018,jeonnabukdo,202932.5,56413,44645.5,44034.5,57839.5
2018,jeonnanamdo,192290.5,52709.5,41466.5,42412,55702.5
2018,gyeoungsangbukdo,284880,71545,61346,65454.5,86534.5
2018,gyeoungsangnamdo,390707,94855.5,82376,89300.5,124175
2018,jeju,80804.5,20440.5,17604.5,17840,24919.5
2019,seoul,1489000,330949.5,401865,361718.5,394467
2019,busan,424392,103270.5,105067,93711,122343.5
2019,daegu,300722.5,77968.5,72134.5,63398.5,87221
2019,incheon,399523,93468.5,100626.5,90287.5,115140.5
2019,gwangju,194970.5,52454,45814,40933.5,55769
2019,daejeon,199120.5,51663.5,48740.5,43473,55243.5
2019,ulsan,143373,34027.5,32491.5,32101,44753
2019,gyeonggi,1770081,408912.5,422209,406351,532608.5
2019,gangwon,161813.5,43257.5,36390,34910.5,47255.5
2019,chungcheongbukdo,184695.5,47083,42127,41567,53918.5
2019,chungcheongnamdo,242830,57414.5,53964,56844.5,74607
2019,jeonnabukdo,197093.5,54500.5,44868,41742,55983
2019,jeonnanamdo,186585,50854,41554,40071.5,54105.5
2019,gyeoungsangbukdo,276073.5,69035.5,60902,61680.5,84455.5
2019,gyeoungsangnamdo,380622,92027.5,82637,84752.5,121205
2019,jeju,80803,20027,18529.5,17376,24870.5
2020,seoul,1480484.5,328102,414465.5,360481.5,377435.5
2020,busan,413372.5,100308.5,105811.5,92268,114984.5
2020,daegu,292895.5,75868.5,73268.5,62394.5,81364
