date,region,total,6569,7074,7579,8084,8589,9094,9599,100UP
2018,seoul,1339175.5,453065.5,354695,276788,154066.5,69438.5,24424.5,5895.5,802
2018,busan,567603,199282,145611.5,117576,65220.5,28626,9185,1858,244
2018,daegu,351311,120308,84918.5,74786,44610,19464,5877,1193,154.5
2018,incheon,349173.5,115619.5,88048,70939,43903,21185.5,7474,1756.5,248
2018,gwangju,182315,59429,46279.5,38511.5,22811.5,10704.5,3573.5,881,124.5
2018,daejeon,182944,61204.5,44702.5,37775,23501.5,11065,3742,832,121.5
2018,ulsan,119254.5,46070,29264,22568.5,12931,5957,1980.5,433.5,50
2018,gyeonggi,1488793,477571,375077.5,311804.5,194696,90208.5,30952.5,7484.5,998.5
2018,gangwon,281145.5,77825,69218,65688.5,40732.5,18749,7026.5,1651.5,254.5
2018,chungcheongbukdo,255013,74427.5,59063.5,57626,39147.5,17528.5,5707,1326.5,186.5
2018,chungcheongnamdo,364505.5,102735,80991,81032,59929,28485.5,8923.5,2127.5,282
2018,jeonnabukdo,352077.5,99138,81417.5,79611.5,54605.5,26409.5,8551,2052.5,292
2018,jeonnanamdo,407826.5,107988,93383.5,98297.5,64299.5,31307,9616,2608.5,326.5
2018,gyeoungsangbukdo,517272.5,154312.5,113564,117775,79144,37161.5,12223.5,2710.5,381.5
2018,gyeoungsangnamdo,509882.5,161049,118450.5,109384.5,72480.5,35192.5,10941.5,2119,265
2018,jeju,93407.5,26879.5,23197.5,19442,13633,6963,2193.5,976,123
2019,seoul,1396109.5,466086,370201.5,284616.5,166758,74381,26780,6436,850.5
2019,busan,594403.5,205484.5,153586,121480,70519,30829.5,10200,2039.5,265
2019,daegu,367032,123678,89694,76352,47852.5,21486.5,6524,1285,160
2019,incheon,368610.5,122054,93435.5,72628.5,47104.5,22888,8275.5,1962,262.5
2019,gwangju,189533,60327,49173.5,39045.5,24401,11569.5,3958.5,923,135
2019,daejeon,191860.5,63992.5,47191.5,38389.5,25142.5,12030.5,4076,918,120
2019,ulsan,127155,49119.5,31641,23416,13800.5,6472,2190.5,468.5,47
2019,gyeonggi,1579186.5,509869.5,396485.5,319848.5,210169,98855,34692,8168.5,1098.5
2019,gangwon,292392,83433,69374,65670,44117,20068.5,7648,1808,273.5
