"시점","행정구역(시군구)별","성별",계,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2009","부산광역시","계",3553803.5,153705.5,104788.5,61839,52372,33745.5,18626.5,14079.5,3652.5,770,124.5
"2009","대구광역시","계",2491252.5,93376.5,68356.5,41489,34209.5,21713,12496.5,9228,2661,517,90.5
"2009","인천광역시","계",2701637.5,82745.5,62139,39083.5,36803.5,22226,14577.5,10732.5,3103,640,102
"2009","광주광역시","계",1428171,46351.5,33603,21200,20113.5,11969,8144.5,5851.5,1807,414.5,71.5
"2009","대전광역시","계",1482537.5,45955,34405,21457.5,20053.5,12119,7934.5,5756.5,1736,382.5,59.5
"2009","울산광역시","계",1113636.5,28736.5,19474,12146.5,11291,6955,4336,3207.5,941,169,18.5
"2009","경기도","계",11376437,352014.5,271883,166008,152496.5,91747.5,60749,44380,13164,2771.5,433.5
"2009","강원도","계",1510722.5,77422.5,62224,36720,37209.5,22027.5,15182,10788,3532.5,735,126.5
"2009","충청북도","계",1523532.5,67418.5,58088,36753,33069,20038.5,13030.5,9381.5,2910.5,643,95.5
"2009","충청남도","계",2028059.5,96159,89561.5,59538.5,52209,31780.5,20428.5,14793,4528,961,146.5
"2009","전라북도","계",1855140,91911,79699,54042,49304.5,29740,19564.5,14220.5,4247.5,918,178.5
"2009","전라남도","계",1916002,114742.5,99145,67085.5,60161,35632.5,24528.5,18086.5,5037,1193,212
"2009","경상북도","계",2671903.5,138555.5,118989,77842.5,71961.5,43826,28135.5,20416,6307.5,1240.5,171.5
"2009","경상남도","계",3237715.5,129170,107438,73259,62362,40120.5,22241.5,16985,4281.5,849,126
"2009","제주특별자치도","계",561640.5,22338,18391,12616.5,12103,5835,6268,4245.5,1512.5,440.5,69.5
"2010","서울특별시","계",10175959.5,383202.5,266107,156569,148181.5,88613,59568.5,42558.5,13598,2935.5,476.5
"2010","부산광역시","계",3532636.5,153475.5,111148,67034.5,56388.5,36269.5,20119,15197,3974,819.5,128.5
"2010","대구광역시","계",2488645,92216,71388,45501,36696.5,23257,13439.5,9918,2850,580.5,91
"2010","인천광역시","계",2719075.5,83588.5,64813.5,41925,39876,24075,15801,11542,3457.5,691.5,110
"2010","광주광역시","계",1439122.5,46895,35197,22744.5,21804,13237.5,8566.5,6105.5,1940,445,76
"2010","대전광역시","계",1487610.5,46388.5,35677.5,23248.5,21472.5,12984.5,8488,6138,1865,415,70
"2010","울산광역시","계",1116566,28958,20633,13069,12014,7378.5,4635.5,3407.5,1016,188,24
"2010","경기도","계",11568536.5,355435.5,284681.5,181284,165651,100080.5,65570.5,47518,14561,3015.5,476
"2010","강원도","계",1513988,76026.5,65538.5,39351,39646,23415.5,16230.5,11543.5,3767.5,784,135.5
"2010","충청북도","계",1532983,65927.5,59238,39985,35341.5,21570,13771.5,9930,3057,683.5,101
"2010","충청남도","계",2048972,93341.5,89545,64800.5,55971,34273.5,21697.5,15653.5,4852.5,1032,159.5
"2010","전라북도","계",1854957,89177.5,80245.5,58161.5,52420,32333.5,20086.5,14359,4587,957,183.5
"2010","전라남도","계",1908345,109253.5,101790,69985,65280.5,39739.5,25541,18575.5,5504,1245.5,216
"2010","경상북도","계",2670012,132312,121527.5,84207.5,76140,46423.5,29716.5,21455.5,6758.5,1320,182.5
"2010","경상남도","계",3258283,125817,110645,78028.5,67398.5,43077.5,24321,18559.5,4695.5,936,130
"2010","제주특별자치도","계",564119.5,22243,18878.5,13694,13000.5,6712.5,6288,4196.5,1559,454.5,78
"2011","서울특별시","계",10116242,386075,280456,170073.5,156614.5,93790.5,62824,44302.5,14848.5,3172.5,500.5
"2011","부산광역시","계",3515775.5,151962.5,117512.5,72651.5,60384.5,38640.5,21744,16277.5,4453,887,126.5
"2011","대구광역시","계",2486311,89947.5,74429.5,49356.5,39472.5,25075,14397.5,10573.5,3117,618,89
"2011","인천광역시","계",2749973.5,85131.5,67481,45530.5,42913,25895.5,17017.5,12248.5,3895,755.5,118.5
"2011","광주광역시","계",1449341,47300,37239.5,24443,23202,14174.5,9027.5,6382.5,2118,445.5,81.5
"2011","대전광역시","계",1497489.5,46598.5,36925,25255.5,23023,13971.5,9051.5,6494,2022,454.5,81
"2011","울산광역시","계",1123225.5,29162.5,21840.5,14084.5,12798.5,7842,4956.5,3624,1093.5,213.5,25.5
"2011","경기도","계",11754984.5,359555.5,297222.5,198738.5,178373,107853,70520,50544.5,16153,3299.5,523
"2011","강원도","계",1518846,74287,68151.5,42807.5,41980.5,24726,17254.5,12264,4013.5,833.5,143.5
"2011","충청북도","계",1545467,64335.5,59859.5,43623.5,37525,22942.5,14582.5,10476.5,3266.5,738.5,101
"2011","충청남도","계",2073576.5,90370,88787.5,70325.5,59821,36649.5,23171.5,16658,5187.5,1152.5,173.5
"2011","전라북도","계",1858301.5,87217,80901.5,62159.5,55786,34824,20962,14817.5,4924,1034,186.5
"2011","전라남도","계",1901926,103932.5,104418,73423,69686.5,42940.5,26746,19166,6006,1347,227
"2011","경상북도","계",2675375.5,125280,122660,90347,80580,49151,31429,22525.5,7287.5,1416,200
"2011","경상남도","계",3276317,121987,113553,82921,72753.5,46159.5,26594,20088.5,5345.5,1016,144
"2011","제주특별자치도","계",568323.5,22298.5,19578,14683,13836.5,7482,6354.5,4110.5,1677,485.5,81.5
"2012","서울특별시","계",10062309,389975,304602.5,183112.5,165800,98986.5,66813.5,46554,16290,3430,539.5
"2012","부산광역시","계",3503507.5,153070,126616,77827,65062,41378.5,23683.5,17512,5048.5,985,138
"2012","대구광역시","계",2484824.5,88878,79725,52655.5,42916,27268,15648,11410,3478,665,95
"2012","인천광역시","계",2793503.5,87567.5,72652,49052,46260,27853.5,18406.5,13028,4380,860.5,138
"2012","광주광역시","계",1456949.5,47718,40712,26237.5,24620,14947.5,9672.5,6757,2359,469,87.5
"2012","대전광역시","계",1508418,46522.5,39733,27141.5,24743.5,15017,9726.5,6900.5,2232,502.5,91.5
"2012","울산광역시","계",1134133.5,29856.5,23759,15050.5,13674,8361.5,5312.5,3842.5,1198.5,245.5,26
"2012","세종특별자치시","계",103384.5,4502.5,4774,3732.5,3471,2133.5,1337.5,960.5,295.5,71.5,10
"2012","경기도","계",11911181,365242,317661.5,214708,192239.5,116242.5,75997,53564,18191,3661.5,580.5
"2012","강원도","계",1523578,72494.5,71342.5,46687,44203,25997,18206,12815,4299.5,933,158.5
"2012","충청북도","계",1550498,61696.5,62174.5,46423.5,39770.5,24354.5,15416,10892,3644,772.5,107.5
"2012","충청남도","계",2006979,82892,87426.5,70712,61533.5,37934.5,23599,16747.5,5518.5,1151,182
"2012","전라북도","계",1860938.5,84923,85764,65256.5,59641,36943.5,22697.5,15937.5,5448,1115.5,196.5
"2012","전라남도","계",1897994,99024,109253.5,77268,73636.5,45577.5,28059,19655,6706,1459,239
"2012","경상북도","계",2680452,119577,127509,95015,85959.5,52443.5,33516,23798.5,7920,1574.5,223
"2012","경상남도","계",3291678.5,120514.5,118060.5,86841.5,78802.5,49934.5,28868,21494.5,6112.5,1094.5,166.5
"2012","제주특별자치도","계",574995.5,22662,20475.5,15525.5,14858,8310,6548,4022,1911,525.5,89.5
"2013","서울특별시","계",10012711.5,401314,325621.5,196583.5,176656,104784,71872,49514,18137.5,3639,581.5
"2013","부산광역시","계",3493213,158626.5,134920.5,83139.5,70190.5,44057.5,26133,19179.5,5765,1026.5,162
"2013","대구광역시","계",2483044.5,91436.5,84537.5,55924.5,46766,29522.5,17243.5,12533,3897,708.5,105
"2013","인천광역시","계",2833204.5,91635.5,77179,52518.5,49986.5,29888,20098.5,14003,4959.5,977.5,158.5
"2013","광주광역시","계",1461796,49520.5,43038,28112,26289,15818.5,10470.5,7201.5,2656,526.5,86.5
"2013","대전광역시","계",1517298.5,47952.5,42062,28851,26673.5,16100.5,10573,7412,2519.5,545.5,96
"2013","울산광역시","계",1144912,31551.5,25612,16013,14651,8924,5727,4098,1348.5,251,29.5
"2013","세종특별자치시","계",116752.5,4611,5029,3911,3816.5,2335.5,1481,1033,359.5,77.5,11
"2013","경기도","계",12061219,378422.5,334042.5,229990,208225,125491,82734,57399,20685,4013,637
"2013","강원도","계",1526531.5,71897.5,73340,50616,46914,27410,19504,13555.5,4743,1028.5,177
"2013","충청북도","계",1558806,61284.5,64170.5,48650.5,42858,26261.5,16596.5,11643.5,4040,786,127
"2013","충청남도","계",2024418.5,82985.5,89080.5,73209.5,67161,41405.5,25755.5,18096.5,6241.5,1229,188.5
"2013","전라북도","계",1860620.5,85247.5,88623,67807.5,64227.5,39251,24976.5,17327.5,6229,1205.5,214.5
"2013","전라남도","계",1894700,97821,110687.5,81477,78176.5,48364.5,29812,20258.5,7795.5,1494,264
"2013","경상북도","계",2680890,119019.5,131818.5,99022,92063.5,55919,36144.5,25535,8650,1704.5,255
"2013","경상남도","계",3304756,123433.5,121529,90327,84850.5,53400,31450.5,23134,6951,1182.5,183
"2013","제주특별자치도","계",584077.5,23473.5,21023,16087.5,16263,9405,6858,3916,2296.5,549.5,96
"2014","서울특별시","계",9970992.5,418589,334235,211763.5,189315,111619.5,77695.5,53535,19634,3889.5,637
"2014","부산광역시","계",3485394,167126.5,138985.5,89315,76038,47203,28835,21189.5,6392,1073,180.5
"2014","대구광역시","계",2477822.5,96620,86074.5,59533.5,51032,32225,18807,13656,4262.5,774,114.5
"2014","인천광역시","계",2863670,97371.5,78894,56229,54146.5,32052.5,22094,15298.5,5526.5,1096,173
"2014","광주광역시","계",1465396.5,52661.5,43516.5,29905,28381.5,16944.5,11437,7916.5,2849,574.5,97
"2014","대전광역시","계",1521389.5,50873,42759,30637,28893,17401,11492,8012.5,2796,581.5,102
